,CBA-WBC,CBA-ANZ,CBA-NAB,CBA-MQG,WBC-ANZ,WBC-NAB,WBC-MQG,ANZ-NAB,ANZ-MQG,NAB-MQG
2014-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.14,0.0
2014-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.08,0.03
2014-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.0
2014-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.04,0.01
2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.01,0.0
2014-11-11,0.0,0.0,0.0,0.01,0.0,0.0,0.14,0.0,0.0,0.02
2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.01,0.01
2014-11-13,0.0,0.0,0.0,0.01,0.0,0.0,0.16,0.0,0.0,0.02
2014-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.02
2014-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.01,0.01
2014-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02
2014-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05
2014-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02
2014-11-21,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.09
2014-11-24,0.0,0.0,0.0,0.01,0.0,0.0,0.11,0.0,0.02,0.12
2014-11-25,0.0,0.0,0.0,0.01,0.0,0.0,0.06,0.0,0.01,0.08
2014-11-26,0.0,0.0,0.0,0.04,0.0,0.0,0.11,0.0,0.0,0.11
2014-11-27,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.01,0.12
2014-11-28,0.0,0.0,0.0,0.03,0.0,0.0,0.14,0.0,0.0,0.17
