,CBA,WBC,ANZ,NAB,MQG
CBA,,0.5280949222426656,0.5026818032248128,0.5670962142009568,0.24780251907494133
WBC,0.5280949222426656,,0.7960723682135296,0.8291713915814682,0.23367329757811994
ANZ,0.5026818032248128,0.7960723682135296,,0.6853645021435097,0.254125629781667
NAB,0.5670962142009568,0.8291713915814682,0.6853645021435097,,0.27956635534133056
MQG,0.24780251907494133,0.23367329757811994,0.254125629781667,0.27956635534133056,
