,CBA-WBC,CBA-ANZ,CBA-NAB,CBA-MQG,WBC-ANZ,WBC-NAB,WBC-MQG,ANZ-NAB,ANZ-MQG,NAB-MQG
2014-08-04,0.6086462755437463,0.5742304114713841,0.4805336023858455,0.22322923733142908,0.6208000579084754,0.538625112754815,0.19215647627477583,0.4395939775432707,0.2820042563971281,0.23060276214536657
2014-08-05,0.6116920050918067,0.578447974055516,0.484536839549369,0.238421769198208,0.6209279402510761,0.5521023450422655,0.19559845571891898,0.43932394140891606,0.2729534192325893,0.23565757202435123
2014-08-06,0.6099898637242793,0.5798838770486796,0.49215299082599095,0.23768473054982042,0.6057141443043443,0.5587377699191363,0.1898715796779653,0.4268115056844497,0.29234401962077605,0.22863591433091557
2014-08-07,0.598725355469365,0.5819168788691504,0.4934720355958344,0.2443160612134676,0.6016072375681683,0.5435856478710415,0.187812093849133,0.4300808402317404,0.28932735944501164,0.22678549913407853
2014-08-08,0.6134476041240289,0.6102450435480007,0.506409364488035,0.2525756578957452,0.6218963772803061,0.5617578245081862,0.19139192825233398,0.4424200660534776,0.28911861061430866,0.2316098114092453
2014-08-11,0.6044776964583498,0.6172554479250412,0.5123235167999649,0.25269846531731854,0.6034412982291668,0.5637153194174722,0.1960799248584335,0.44295310799661713,0.29824730140362643,0.23498456383574595
2014-08-12,0.643128330066622,0.6367761390415794,0.5526894195094068,0.25331565968568714,0.6369920068187325,0.5804463674393405,0.1762490071638263,0.4652832996784282,0.291193912843168,0.2254895355351909
2014-08-13,0.6190570527854193,0.6221703810754269,0.5388869886057392,0.253337691296009,0.6170399470041357,0.5742754280366826,0.174281461287479,0.4727749565588777,0.2741008412441186,0.21812066969320032
2014-08-14,0.604503658827781,0.6038769042946059,0.5133509967432612,0.23146141684098964,0.593357638038631,0.5625141476968034,0.16219837845547147,0.4546335966887858,0.2525315201874152,0.19976821147080503
2014-08-15,0.5869467208227697,0.596835096060202,0.5207273011426592,0.24698762447227463,0.5720342433129142,0.5581035617284282,0.1782571351102611,0.4534814262327522,0.2333564884582806,0.20735890500808374
2014-08-18,0.6078781790163887,0.6065434794942446,0.5190073004647608,0.24666438222410036,0.5757354579739964,0.5442049921052252,0.186982979046749,0.44092421638143175,0.2411560224728566,0.18127192158137273
2014-08-19,0.614662143469852,0.6143751087295399,0.49768478124971693,0.26004694661508054,0.5674619531658918,0.5235617084126218,0.20932986311699242,0.4318868837205576,0.24201648829717115,0.1745013245717697
2014-08-20,0.6228278709479165,0.6074783570076825,0.49922176613325675,0.2614162646197844,0.5588867354895379,0.5187315066449214,0.2216032519893334,0.4150786833056479,0.24343897521648294,0.18436951248572697
2014-08-21,0.6231921715293938,0.6052794366446337,0.49291579226852367,0.2600995553581411,0.5607252785165535,0.524369654719167,0.21563173871594632,0.40819169749985473,0.24329212100849684,0.1898099051256379
2014-08-22,0.6295761650483502,0.6150259090728198,0.5061873680800675,0.2630656277124137,0.5475467009678026,0.5157778915164135,0.22131568697234716,0.3978221119897549,0.2302839372901131,0.16575962055713678
2014-08-25,0.5920014482044689,0.6036640712566923,0.5127071681554325,0.2826007499874592,0.5216042095104116,0.5186841819498875,0.24712895978926674,0.41368260937157064,0.2609453490523155,0.18203855497152244
2014-08-26,0.5866274219832084,0.6031149854441233,0.4921204995009809,0.2705839397858938,0.5167876983394812,0.5064539617677406,0.2654439067240375,0.41397621650325345,0.2753835013072923,0.18792247837564435
2014-08-27,0.6075755270167624,0.6022613844222322,0.4699128190416024,0.24531547391878838,0.5202284510608584,0.5004638479802272,0.24766066446585722,0.41395682921690113,0.2777053277039352,0.17673447518575802
2014-08-28,0.6040938385765422,0.5887566192062712,0.48595528505773444,0.2428838789321972,0.5226841662752459,0.4857525795631803,0.2489405756612424,0.4000085882951083,0.2657623862898939,0.17511832942829297
