,CBA-WBC,CBA-ANZ,CBA-NAB,CBA-MQG,WBC-ANZ,WBC-NAB,WBC-MQG,ANZ-NAB,ANZ-MQG,NAB-MQG
2014-08-04,0.19812526485686077,0.2121285315135475,0.18948974876257108,0.04619294007576147,0.22306127699589418,0.21343650148869364,0.048343258247278253,0.18907525378599077,0.05820292014115136,0.014997372263384934
2014-08-05,0.19819762966059984,0.21273411197256054,0.1817533436139771,0.04675816144429623,0.21803457782049285,0.21957160983442936,0.052333646910759146,0.17806077282812294,0.06293464603946175,0.008599693205747272
2014-08-06,0.20819781140188853,0.21775180690054263,0.1889172313304004,0.04390322789631118,0.207217710788709,0.22524916011514962,0.04492251243888745,0.1768889031361398,0.06392146514138575,-0.0019047204384996519
2014-08-07,0.21496130124147972,0.22758162537233972,0.18509329944026032,0.04455195528730371,0.20881373968821326,0.22101686403444853,0.0447981308559835,0.17049448594026084,0.06376459487055586,0.004217493784247628
2014-08-08,0.21757025199439894,0.22309621540642843,0.18263363384829234,0.03715938420120657,0.20598135054743727,0.2298715122754167,0.044712254810431507,0.17482477415810638,0.05640485158867925,0.006593240884545271
2014-08-11,0.22460669185347149,0.2217352652560085,0.18975878470033591,0.04415340346380425,0.19234746987080786,0.22395701004162505,0.04071976435799818,0.16816241601362303,0.05944647240759937,0.009967420269884952
2014-08-12,0.24368654130974998,0.22894536378654795,0.1990037660154036,0.05326094249142321,0.19962895781246726,0.21866228117162434,0.04201213332503406,0.17821436369294852,0.05851788122477375,0.004093734293512563
2014-08-13,0.23039856439547557,0.22428214212068665,0.19656029320352997,0.05028258842685496,0.18800446999422737,0.21535061760651075,0.03540076445089202,0.17054827885480695,0.05863855598778911,0.004854912104956588
2014-08-14,0.23335328619868445,0.22664478861325277,0.19629924295685175,0.03792084604044077,0.18211550496799367,0.2185392987368271,0.040594019164106765,0.16758124144415287,0.05322496778808117,0.007115652060764477
2014-08-15,0.23293053152204068,0.23221829533165317,0.1957504267043797,0.042541083790505585,0.1699002598821744,0.21478746224943346,0.049437248427981695,0.17166401159368294,0.048602764287784206,0.015408504869755868
2014-08-18,0.23019302141698517,0.2283936310453154,0.19064935214390966,0.04441363411641497,0.16750221839035362,0.2076149082577834,0.05374022653876587,0.15749108818856672,0.05100162166186495,0.007173817693322926
2014-08-19,0.22587822014715764,0.22427304668152948,0.1882695312842848,0.04870485848528383,0.16541444740471944,0.1916691748363364,0.06337429242942627,0.15487742972403984,0.059844453777065265,0.004823101536001628
