,CBA,WBC,ANZ,NAB,MQG
CBA,,0.18708978143618626,0.17834943146523607,0.21010950219626157,-0.00339387782808509
WBC,0.18708978143618626,,0.3590081972279423,0.4037716202029237,0.011457671671499359
ANZ,0.17834943146523607,0.3590081972279423,,0.3081179468482672,0.0203301872963082
NAB,0.21010950219626157,0.4037716202029237,0.3081179468482672,,0.021605429997946235
MQG,-0.00339387782808509,0.011457671671499359,0.0203301872963082,0.021605429997946235,
